OBJECTID,FIPS,COUNTY,STATE,POPULATION,SQMI,mean_price_30_night_NoNull,mean_price_1_night_NoNull,Point_Count_1_NoNull,Shape_Length,Shape_Area,mean_price_01,mean_price_02,mean_price_03,mean_price_04,mean_price_05,mean_price_06,mean_price_07,mean_price_08,mean_price_09,mean_price_10,mean_price_11,mean_price_12,mean_price_13,mean_price_14,mean_price_15,mean_price_16,mean_price_17,mean_price_18,mean_price_19,mean_price_20,mean_price_21,mean_price_22,mean_price_23,mean_price_24,mean_price_25,mean_price_26,mean_price_27,mean_price_28,mean_price_29,mean_price_30,mean_price_31,Point_Count
115,06073003114,San Diego,CA,3392,0.44,9236.9449,307.897764,2.66234,15239.37097,11952689.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
116,06073003115,San Diego,CA,6529,0.6,9236.9449,307.897764,2.66234,21046.71392,16678637.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
117,06073003201,San Diego,CA,4965,0.63,9236.9449,307.897764,2.66234,20735.77122,17354343.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
118,06073003202,San Diego,CA,4594,0.5,9236.9449,307.897764,2.66234,17737.54524,13781994.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
119,06073003204,San Diego,CA,3386,1.35,9236.9449,307.897764,2.66234,2327.002917,18663.3658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
120,06073003207,San Diego,CA,5902,2.16,9236.9449,307.897764,2.66234,1991.817011,9565.444016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
121,06073003208,San Diego,CA,6786,0.52,9236.9449,307.897764,2.66234,17604.55856,14369160.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
122,06073003209,San Diego,CA,5351,0.5,9236.9449,307.897764,2.66234,18318.92569,13939884.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
123,06073003211,San Diego,CA,3190,0.33,9236.9449,307.897764,2.66234,15918.08967,9235910.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
124,06073003212,San Diego,CA,4061,0.49,9236.9449,307.897764,2.66234,19125.79728,12877014.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
125,06073003213,San Diego,CA,4249,0.46,9236.9449,307.897764,2.66234,14712.95353,12642375.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
126,06073003301,San Diego,CA,3446,0.59,9236.9449,307.897764,2.66234,21843.86723,11176279.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
127,06073003303,San Diego,CA,4197,0.24,8643.333333,288.3333333,3,11017.19754,6663966.215,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,288.3333333,3
128,06073003304,San Diego,CA,3768,0.23,9236.9449,307.897764,2.66234,10486.87663,6345826.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
129,06073003305,San Diego,CA,5773,0.49,9236.9449,307.897764,2.66234,16339.35242,13819406.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
130,06073003403,San Diego,CA,4408,0.54,3831,128,1,19030.40244,14801861.01,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,1
131,06073003404,San Diego,CA,4531,0.65,9236.9449,307.897764,2.66234,17336.65496,18048265.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
132,06073003602,San Diego,CA,3171,0.25,9236.9449,307.897764,2.66234,10701.95572,7049089.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
133,06073003603,San Diego,CA,4205,0.26,9236.9449,307.897764,2.66234,11143.96272,7339709.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
134,06073011801,San Diego,CA,4038,0.25,9236.9449,307.897764,2.66234,2012.802019,1415.279094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
135,06073011802,San Diego,CA,6862,0.35,9236.9449,307.897764,2.66234,4509.972217,136002.9421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
136,06073011902,San Diego,CA,5750,0.67,9236.9449,307.897764,2.66234,22246.63939,377847.2167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
137,06073012003,San Diego,CA,3389,0.41,9236.9449,307.897764,2.66234,4294.926272,38645.56565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
138,06073012102,San Diego,CA,3324,0.45,9236.9449,307.897764,2.66234,3743.424019,2723.780702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
139,06073014102,San Diego,CA,3880,0.46,9236.9449,307.897764,2.66234,22580.03931,12261969.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
140,06073021900,San Diego,CA,6994,2.35,9236.9449,307.897764,2.66234,7540.478368,283184.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
141,06073003107,San Diego,CA,6053,0.61,9234,308,1,22246.56036,12657317.37,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308,1
142,06073003108,San Diego,CA,3526,0.42,9236.9449,307.897764,2.66234,5444.178982,20246.38931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
143,06073003214,San Diego,CA,4635,0.47,9236.9449,307.897764,2.66234,10885.97078,4685359.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
144,06073010014,San Diego,CA,19323,10.98,9236.9449,307.897764,2.66234,87403.46814,159974314.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
145,06073010015,San Diego,CA,2863,15.39,9236.9449,307.897764,2.66234,83238.74678,264096588.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
146,06073013313,San Diego,CA,13229,7.3,9236.9449,307.897764,2.66234,665.1710398,25990.98681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
147,06073000100,San Diego,CA,3019,0.59,6035,201,1,20348.07942,16507748.22,179,201,189,219,219,289,309,201,299,284,284,284,201,201,201,179,149,149,149,149,149,159,159,149,201,179,179,201,201,224,201,1
148,06073000201,San Diego,CA,1921,0.33,9236.9449,307.897764,2.66234,12251.33198,9327366.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
149,06073000202,San Diego,CA,4221,0.51,9236.9449,307.897764,2.66234,18834.60464,14402858.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
150,06073000300,San Diego,CA,4939,0.35,8708.666667,290,3,14256.05997,9575807.298,290,290,317.3333333,277,277,277,281,290,290,290,290,290,277,277,290,290,277,277,290,277,281,305.3333333,290,289.3333333,290,309.3333333,290,290,290,290,290,3
151,06073000400,San Diego,CA,3890,0.45,8912.666667,297,3,15531.6992,12525053.42,239.6666667,239.6666667,219.6666667,229.6666667,229.6666667,229.6666667,239.6666667,307.3333333,307.3333333,307.3333333,307.3333333,297,229.6666667,219.6666667,236.3333333,297,297,219.6666667,219.6666667,229.6666667,229.6666667,246.3333333,246.3333333,246.3333333,246.3333333,219.6666667,239.6666667,239.6666667,239.6666667,246.3333333,246.3333333,3
152,06073000500,San Diego,CA,2837,0.45,9236.9449,307.897764,2.66234,17126.99609,12568616.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
153,06073000600,San Diego,CA,2957,0.36,12509,417,1,16646.418,10077411.81,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,417,1
154,06073000700,San Diego,CA,3881,0.3,9236.9449,307.897764,2.66234,11501.18352,8385102.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
155,06073000800,San Diego,CA,4558,0.25,4778,159,1,10469.23586,6871059.806,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,1
156,06073000900,San Diego,CA,5191,0.24,9236.9449,307.897764,2.66234,10295.01009,6591989.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
157,06073001000,San Diego,CA,4868,0.34,4287,143,4,13847.68745,9369391.72,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,126.3333333,3
158,06073001100,San Diego,CA,3064,0.36,9236.9449,307.897764,2.66234,12744.54491,10055574.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
159,06073001200,San Diego,CA,5628,0.27,9236.9449,307.897764,2.66234,11574.61367,7389239.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
160,06073001300,San Diego,CA,6198,0.3,9236.9449,307.897764,2.66234,11753.64226,8496117.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
161,06073001400,San Diego,CA,3165,0.29,9236.9449,307.897764,2.66234,11366.32922,8059318.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
162,06073001500,San Diego,CA,3924,0.31,10166.66667,339,3,13154.24866,8552866.398,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339,3
163,06073001600,San Diego,CA,5670,0.26,9236.9449,307.897764,2.66234,12192.85515,7255631.762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
164,06073001700,San Diego,CA,4991,0.25,5539,184.75,4,11014.77935,6946773.363,186,186.75,183.25,184.75,183.25,183.25,183.25,187.5,188.75,187.75,187.75,187.75,183.25,184.75,185,185.75,184.75,183.25,183.25,183.25,183.25,185,185.75,183.25,183.25,183.25,183.5,183.5,184.75,186.75,183.25,4
165,06073001800,San Diego,CA,5287,0.29,5105.5,170,2,14103.23521,8049904.69,157.5,170,132.5,131.5,130.5,131.5,138,161.5,158.5,131,128.5,125.5,127,131.5,157.5,160.5,130,136.5,138.5,144.5,161,206,248.5,221.5,223,217,208,214,287.5,275.5,198.5,2
166,06073001900,San Diego,CA,3012,0.68,9236.9449,307.897764,2.66234,21958.2753,18828181.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
167,06073002201,San Diego,CA,3731,0.14,9236.9449,307.897764,2.66234,7798.757068,3826250.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
168,06073002401,San Diego,CA,4573,0.25,9236.9449,307.897764,2.66234,11133.14755,7001413.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
169,06073004200,San Diego,CA,5709,0.97,7424,247,1,23298.69314,26901806.36,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,247,1
170,06073004300,San Diego,CA,3660,0.39,9236.9449,307.897764,2.66234,13579.58452,10962910.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
171,06073004400,San Diego,CA,3956,0.36,7666,256,1,13066.85197,10288093.98,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,1
172,06073005500,San Diego,CA,197,0.18,9236.9449,307.897764,2.66234,9340.604905,5049151.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
173,06073005600,San Diego,CA,4749,2.14,9236.9449,307.897764,2.66234,46381.01196,59717049.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
174,06073005700,San Diego,CA,1998,0.1,8724.777778,290.8888889,9,7090.927154,2883346.076,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,290.8888889,9
175,06073005800,San Diego,CA,2904,0.31,4590.5,153,4,16947.36972,8761544.33,142,142.5,163.75,129.5,165,145.25,145.25,155.25,155.25,153,172,132,135.25,131.75,140.5,139.75,130,130.75,164,164,130.25,136.25,136.25,130.75,130.75,128,130.75,135.25,152,165,161.75,4
176,06073005900,San Diego,CA,2988,0.16,4493,150,1,9029.062843,4523843.53,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1
177,06073006000,San Diego,CA,3881,0.39,11231,374,1,13692.43656,10881930.69,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,1
178,06073006100,San Diego,CA,2280,0.35,9236.9449,307.897764,2.66234,14869.29056,9764085.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
179,06073006200,San Diego,CA,146,1.25,9236.9449,307.897764,2.66234,44747.33399,35026927.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
180,06073008902,San Diego,CA,2326,1.19,3550,118,4,34657.96449,33496500.77,108.75,121.5,103,107,105.5,116,119.5,147.5,168.75,132.75,136,119.5,99.25,99.5,124.25,120.75,107.5,98.25,98.25,97.5,108,133.75,117.25,119.5,119.75,106,114.25,135.25,174.75,177.25,172.75,4
181,06073009106,San Diego,CA,3893,0.93,9777,326,1,27910.6431,26086142.63,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,1
182,06073009107,San Diego,CA,4386,0.31,3424,114,2,14022.03697,8612822.671,125,125,107,111.5,111.5,111.5,111.5,125,125,111.5,111.5,111.5,111.5,111.5,125,125,111.5,111.5,111.5,111.5,111.5,125,125,114,111.5,111.5,114,111.5,151.5,196.5,201,2
183,06073008504,San Diego,CA,6040,1.16,11414,380,1,25151.55348,32385862.89,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,1
184,06073008509,San Diego,CA,6749,0.75,9236.9449,307.897764,2.66234,21336.87756,20936265.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
185,06073008510,San Diego,CA,6563,0.79,9236.9449,307.897764,2.66234,20867.67114,22130116.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
186,06073008512,San Diego,CA,4251,0.81,9236.9449,307.897764,2.66234,21660.92373,22693347.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
187,06073008513,San Diego,CA,2772,0.62,9236.9449,307.897764,2.66234,23492.5345,17101174.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
188,06073008600,San Diego,CA,6895,1,9236.9449,307.897764,2.66234,22843.10833,28151037.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
189,06073008701,San Diego,CA,3367,0.65,9236.9449,307.897764,2.66234,23197.26883,17970590.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
190,06073008702,San Diego,CA,5116,1.05,6834,228,2,31334.56909,29082711.55,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,228,2
191,06073008800,San Diego,CA,6123,0.57,9236.9449,307.897764,2.66234,19740.11711,15998315.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
192,06073008901,San Diego,CA,5158,0.5,8168,272,1,20900.73779,13937512.37,277,272,247,226,247,329,247,269,269,247,272,224,224,224,262,262,224,224,224,224,272,254,262,359,359,341,359,272,329,359,419,1
193,06073009000,San Diego,CA,3897,0.47,9236.9449,307.897764,2.66234,16108.28444,12875843.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
194,06073009201,San Diego,CA,5599,0.66,9236.9449,307.897764,2.66234,21277.25231,18303125.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
195,06073009202,San Diego,CA,4897,1.4,9236.9449,307.897764,2.66234,30909.16698,39020751.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
196,06073009301,San Diego,CA,4353,0.57,9236.9449,307.897764,2.66234,20566.44283,15671807.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
197,06073009304,San Diego,CA,8114,2.15,4659,155.5,2,43136.44289,60074068.59,142,142,113,113,113,122,208,155.5,208,208,155.5,113,113,113,142,142,113,113,113,113,113,142,142,155.5,155.5,155.5,122,155.5,162,155.5,202,2
198,06073009305,San Diego,CA,4670,0.62,9236.9449,307.897764,2.66234,18404.12886,17320348.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
199,06073009306,San Diego,CA,5609,1.11,9236.9449,307.897764,2.66234,25534.85562,30998966.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
200,06073002001,San Diego,CA,3431,0.96,9236.9449,307.897764,2.66234,24434.80408,26547446.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
201,06073002002,San Diego,CA,2664,0.5,9236.9449,307.897764,2.66234,18924.68183,14049729.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
202,06073002100,San Diego,CA,5545,0.35,9236.9449,307.897764,2.66234,17034.92219,9708750.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
203,06073002202,San Diego,CA,5028,0.19,9236.9449,307.897764,2.66234,9172.552502,5175132.761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
204,06073002301,San Diego,CA,2835,0.16,9236.9449,307.897764,2.66234,10245.78434,4553452.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
205,06073002302,San Diego,CA,6576,0.2,9236.9449,307.897764,2.66234,9659.280545,5720837.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
206,06073002402,San Diego,CA,5351,0.19,9236.9449,307.897764,2.66234,9817.728297,5540302.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
207,06073002501,San Diego,CA,5483,0.49,9236.9449,307.897764,2.66234,17455.88043,13692325.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
208,06073002502,San Diego,CA,6363,0.72,9236.9449,307.897764,2.66234,22532.47999,20041039.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
209,06073002601,San Diego,CA,6300,0.32,9236.9449,307.897764,2.66234,12082.84146,8997713.919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
210,06073002602,San Diego,CA,4496,0.3,9236.9449,307.897764,2.66234,11932.10291,8200645.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
211,06073002702,San Diego,CA,5235,0.53,9236.9449,307.897764,2.66234,15730.07789,14810609.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
212,06073002703,San Diego,CA,6986,0.76,9236.9449,307.897764,2.66234,25735.66496,20894946.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
213,06073002705,San Diego,CA,4335,0.48,9236.9449,307.897764,2.66234,18061.55052,13431581.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
214,06073002707,San Diego,CA,5267,0.15,9236.9449,307.897764,2.66234,8447.616796,4126924.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
215,06073002708,San Diego,CA,5950,0.24,9236.9449,307.897764,2.66234,10741.36201,6810396.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
216,06073002709,San Diego,CA,3818,0.24,9236.9449,307.897764,2.66234,12872.82964,6737870.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
217,06073002710,San Diego,CA,4309,0.26,9236.9449,307.897764,2.66234,15389.14718,7193455.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
218,06073002711,San Diego,CA,3217,0.56,9236.9449,307.897764,2.66234,19078.51027,15454615.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
219,06073002712,San Diego,CA,4678,0.85,9236.9449,307.897764,2.66234,26104.77268,23676112.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
220,06073002801,San Diego,CA,3247,1.1,9236.9449,307.897764,2.66234,25664.78487,30707349.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
221,06073002803,San Diego,CA,5478,0.42,5191,173,1,17053.93058,11739185.75,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,1
222,06073002804,San Diego,CA,4699,0.57,9236.9449,307.897764,2.66234,15694.84825,15775849.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
223,06073002902,San Diego,CA,5357,0.62,9236.9449,307.897764,2.66234,20162.37935,17148433.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
224,06073002903,San Diego,CA,3717,0.54,9236.9449,307.897764,2.66234,15855.35689,15116651.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
225,06073002904,San Diego,CA,7893,0.7,9236.9449,307.897764,2.66234,19455.38668,19522581.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
226,06073002905,San Diego,CA,4177,0.44,9236.9449,307.897764,2.66234,18687.87674,12302953.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
227,06073003003,San Diego,CA,5198,1.26,9236.9449,307.897764,2.66234,33531.9925,30250286.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
228,06073003401,San Diego,CA,6227,1.08,9236.9449,307.897764,2.66234,25862.62344,30161140.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
229,06073009506,San Diego,CA,4077,0.6,9236.9449,307.897764,2.66234,20797.96738,16580864.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
230,06073009507,San Diego,CA,3569,1.65,9236.9449,307.897764,2.66234,29793.44084,46195088.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
231,06073009509,San Diego,CA,4267,2.02,9236.9449,307.897764,2.66234,40097.24631,56277013.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
232,06073009510,San Diego,CA,5269,0.63,9236.9449,307.897764,2.66234,19867.50322,17601103.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
233,06073009511,San Diego,CA,4515,0.56,9236.9449,307.897764,2.66234,19706.10581,15465002.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
234,06073009602,San Diego,CA,3677,0.74,5936,198,1,21068.84392,20452043.49,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,1
235,06073009603,San Diego,CA,4570,0.67,9236.9449,307.897764,2.66234,17421.98716,18568818.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
236,06073009604,San Diego,CA,3227,0.7,9236.9449,307.897764,2.66234,20023.11914,19598318.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
237,06073009703,San Diego,CA,3471,0.64,9236.9449,307.897764,2.66234,22338.51106,17786388.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
238,06073009704,San Diego,CA,5759,1.21,6495,216.5,2,28024.07926,33734329.39,216.5,206.5,190.5,196,199,199,198.5,216.5,303.5,291.5,291.5,208.5,199,216.5,204,204,196.5,196.5,196.5,196.5,196.5,206.5,206.5,196.5,196.5,196.5,209,209,239,216.5,234,2
239,06073009705,San Diego,CA,3867,0.93,3133,104.5,2,21120.67589,26049600.85,117.5,121,85.5,83,82.5,83.5,86.5,112.5,120.5,88,94,83,83.5,84,112.5,114,98,90,82.5,83.5,84,118,121,100.5,84.5,90.5,85,84.5,121,123,102.5,2
240,06073009706,San Diego,CA,7104,2.48,9236.9449,307.897764,2.66234,43716.21084,68713314.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
241,06073009801,San Diego,CA,5084,0.81,9236.9449,307.897764,2.66234,25220.04397,22544219.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
242,06073009805,San Diego,CA,4731,2.87,9236.9449,307.897764,2.66234,38504.10146,79946344.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
243,06073014101,San Diego,CA,3521,0.52,9236.9449,307.897764,2.66234,9369.974822,177919.0626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
244,06073014200,San Diego,CA,6364,0.87,9236.9449,307.897764,2.66234,6756.924221,59076.14629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
245,06073014500,San Diego,CA,3957,0.45,9236.9449,307.897764,2.66234,9925.337419,105253.1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
246,06073014700,San Diego,CA,7546,0.96,9236.9449,307.897764,2.66234,17711.36151,227329.6372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
247,06073014804,San Diego,CA,4316,0.48,9236.9449,307.897764,2.66234,7412.542012,132170.3036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
248,06073014805,San Diego,CA,4064,0.5,9236.9449,307.897764,2.66234,7500.821203,164965.2344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
249,06073014806,San Diego,CA,2574,0.35,9236.9449,307.897764,2.66234,7144.579225,92390.5604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
250,06073008345,San Diego,CA,3406,0.75,9236.9449,307.897764,2.66234,22179.5004,21018289.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
251,06073008346,San Diego,CA,4873,4.53,7644,255,1,72243.38211,126496551.7,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,1
252,06073008347,San Diego,CA,6511,0.89,9236.9449,307.897764,2.66234,34886.97871,24655150.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
253,06073008348,San Diego,CA,5356,0.77,9236.9449,307.897764,2.66234,24062.88512,21338359.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
254,06073008349,San Diego,CA,3466,0.37,9236.9449,307.897764,2.66234,17114.39691,10509328.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
255,06073008350,San Diego,CA,6384,6,20973,699,1,60263.74337,166847056.7,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,1
256,06073008351,San Diego,CA,4351,0.41,9236.9449,307.897764,2.66234,14499.86379,11273458.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
257,06073008352,San Diego,CA,3554,0.27,9236.9449,307.897764,2.66234,11115.58192,7527881.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
258,06073008355,San Diego,CA,3487,0.34,9236.9449,307.897764,2.66234,14913.51407,9601241.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
259,06073008356,San Diego,CA,3490,0.23,9236.9449,307.897764,2.66234,10704.67678,6603156.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
260,06073008357,San Diego,CA,5007,0.35,9236.9449,307.897764,2.66234,16831.52971,9525537.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
