OBJECTID,FIPS,COUNTY,STATE,POPULATION,SQMI,mean_price_30_night_NoNull,mean_price_1_night_NoNull,Point_Count_1_NoNull,Shape_Length,Shape_Area,mean_price_01,mean_price_02,mean_price_03,mean_price_04,mean_price_05,mean_price_06,mean_price_07,mean_price_08,mean_price_09,mean_price_10,mean_price_11,mean_price_12,mean_price_13,mean_price_14,mean_price_15,mean_price_16,mean_price_17,mean_price_18,mean_price_19,mean_price_20,mean_price_21,mean_price_22,mean_price_23,mean_price_24,mean_price_25,mean_price_26,mean_price_27,mean_price_28,mean_price_29,mean_price_30,mean_price_31,Point_Count
24,06073007800,San Diego,CA,5873,0.78,5813.75,193.75,4,30488.60921,21622520.32,197.75,200,185.25,176.5,177,189.25,193.25,248.25,241.75,220,213.5,199.75,178.25,176,193.5,195.25,171.25,177.25,187.75,188.25,176,197.5,198,177.75,181.25,193.75,186.25,188.25,219,209,190.25,4
25,06073007903,San Diego,CA,4424,0.29,6805,226.5,2,12812.17999,8161975.302,225.5,225.5,209,222,222,217,225.5,225.5,226.5,222,226.5,222,222,225.5,225.5,212.5,217.5,225.5,225.5,225.5,221.5,239,239,239,225,229,216,280.5,280.5,289.5,226.5,2
26,06073007905,San Diego,CA,2593,0.21,8241.5,274.5,8,10683.42619,5954051.149,276.875,285.125,219.75,231.625,217.75,224,240.875,297.625,298.25,246.75,235.875,235.125,229,232.125,278.25,278.125,258.25,236.375,235.375,260.5,274.5,312.75,326.75,303.75,301.25,307.375,311.875,293.375,377.625,364.75,349.375,8
27,06073007907,San Diego,CA,3049,0.18,9236.9449,307.897764,2.66234,8922.768614,5079320.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,06073007908,San Diego,CA,2825,0.18,9236.9449,307.897764,2.66234,8906.764964,4919473.635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,06073007910,San Diego,CA,2789,0.28,6170,206,1,14045.29168,7548921.186,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,1
30,06073008002,San Diego,CA,2599,0.42,8269,276,1,16447.68279,11731170.73,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,1
31,06073008003,San Diego,CA,3331,0.3,7356,245.3333333,3,11746.70206,8167038.545,254,275,228.3333333,239.6666667,224,228.3333333,234,281.6666667,266.3333333,245,228.3333333,228.3333333,228.3333333,228.3333333,265,249.6666667,236.3333333,225,225,225,236.3333333,278.3333333,243,260.6666667,260.6666667,258.3333333,258.3333333,253.3333333,288.3333333,253,268.3333333,3
32,06073008006,San Diego,CA,3912,0.37,9236.9449,307.897764,2.66234,17874.17822,10076571.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,06073008102,San Diego,CA,3629,0.54,4035,135,1,20040.72821,15105421.71,169,169,119,129,129,129,129,169,169,129,129,129,129,129,135,169,129,129,129,129,129,158,169,135,139,149,149,149,199,199,149,1
34,06073008301,San Diego,CA,3113,0.91,9236.9449,307.897764,2.66234,25183.31155,25331301.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,06073008311,San Diego,CA,2967,0.96,9236.9449,307.897764,2.66234,26921.79387,26736274.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
36,06073008503,San Diego,CA,6674,1.42,9236.9449,307.897764,2.66234,29042.54667,39541042.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
37,06073021400,San Diego,CA,7487,1.24,5233.090909,174.5454545,11,41564.42726,34673808.51,187.4545455,193.4545455,160,163.3636364,161.2727273,161.6363636,172.4545455,196.7272727,202.9090909,165,174.7272727,166.9090909,161.2727273,161.6363636,176.8181818,185.0909091,163.7272727,159,159.4545455,159.4545455,163.1818182,185.4545455,187.8181818,171.1818182,170.5454545,168.7272727,168,171.5454545,180.0909091,192.0909091,172.0909091,11
38,06073008333,San Diego,CA,15073,6.01,13397,446.5,2,65349.48285,167256722.2,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,446.5,2
39,06073008340,San Diego,CA,9304,0.89,9236.9449,307.897764,2.66234,20787.05163,24818112.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
40,06073008344,San Diego,CA,3417,0.79,9236.9449,307.897764,2.66234,20082.889,21936948.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
41,06073008502,San Diego,CA,6299,1.22,9236.9449,307.897764,2.66234,22977.94743,33969893.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
42,06073008101,San Diego,CA,4062,0.45,10914.71429,363.8571429,7,15393.88666,12189889.59,365.4285714,365.4285714,358.5714286,358.5714286,358.5714286,358.5714286,358.5714286,365.4285714,365.4285714,358.5714286,358.5714286,358.5714286,358.5714286,363.8571429,368.8571429,368.8571429,358.5714286,358.5714286,358.5714286,363.8571429,358.5714286,371.1428571,371.1428571,364.2857143,364.2857143,363.8571429,364.2857143,364.2857143,363.8571429,386,375.7142857,7
